CG
Line A: Structure Position, Actual Response - Global X (15MW-Semi-sub - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, Actual Response - Global Y (15MW-Semi-sub - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line C: Structure Position, Actual Response - Global Z (15MW-Semi-sub - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]

*Time (s),Line A (m),Line B (m),Line C (m)
29.1,-0.279256880283356,-5.40518127381802E-02,-1.50769913196564
29.2,-0.283802837133408,-5.31447529792786E-02,-1.51804387569427
29.3,-0.288294762372971,-5.22042699158192E-02,-1.52773320674896
29.4,-0.29265496134758,-5.12382090091705E-02,-1.53675925731659
29.5,-0.296807408332825,-5.02542071044445E-02,-1.54511523246765
29.6,-0.300678491592407,-4.92601692676544E-02,-1.55279529094696
29.7,-0.304198324680328,-4.82632108032703E-02,-1.55979478359222
29.8,-0.307301789522171,-0.047270443290472,-1.56611001491547
29.9,-0.309929043054581,-4.62882071733475E-02,-1.57173776626587
30,-0.312026232481003,-0.045322734862566,-1.57667601108551
30.1,-0.313546150922775,-0.044379711151123,-1.5809234380722
30.2,-0.314447849988937,-0.043463759124279,-1.58447933197021
30.3,-0.314697235822678,-4.25788946449757E-02,-1.58734357357025
30.4,-0.314267605543137,-4.17292080819607E-02,-1.58951663970947
30.5,-0.313139170408249,-4.09179292619228E-02,-1.59099936485291
30.6,-0.311299383640289,-4.01479005813599E-02,-1.59179317951202
30.7,-0.308744013309479,-3.94218042492867E-02,-1.59189963340759
30.8,-0.305476874113083,-3.87417748570442E-02,-1.59132063388824
30.9,-0.301510721445084,-3.81092131137848E-02,-1.59005796909332
31,-0.296866744756699,-3.75259667634964E-02,-1.58811342716217
31.1,-0.291574835777283,-3.69935743510723E-02,-1.58548867702484
31.2,-0.285673379898071,-0.036512978374958,-1.58218538761139
31.3,-0.279209733009338,-3.60845625400543E-02,-1.57820522785187
31.4,-0.272239118814468,-3.57091389596462E-02,-1.57354998588562
31.5,-0.264824390411377,-3.53874936699867E-02,-1.56822109222412
31.6,-0.257035374641418,-3.51200178265572E-02,-1.56221961975098
31.7,-0.248947754502296,-3.49071510136127E-02,-1.55554711818695
31.8,-0.240642592310905,-3.47496867179871E-02,-1.54820418357849
31.9,-0.2322056889534,-3.46480756998062E-02,-1.54019165039063
32,-0.223726570606232,-3.46019491553307E-02,-1.53151047229767
32.1,-0.215297535061836,-3.46117168664932E-02,-1.52216100692749
32.2,-0.207012161612511,-3.46768610179424E-02,-1.51214408874512
32.3,-0.198964670300484,-3.47963497042656E-02,-1.501460313797
32.4,-0.191248953342438,-3.49690355360508E-02,-1.49011063575745
32.5,-0.183957189321518,-3.51937115192413E-02,-1.47809636592865
32.6,-0.177177727222443,-3.54687049984932E-02,-1.46541929244995
32.7,-0.17099466919899,-3.57917584478855E-02,-1.45208144187927
32.8,-0.165486454963684,-3.61597426235676E-02,-1.4380851984024
32.9,-0.160724312067032,-3.65691855549812E-02,-1.42343389987946
33,-0.156770765781403,-3.70161533355713E-02,-1.40813183784485
33.1,-0.153678953647614,-3.74961011111736E-02,-1.39218366146088
33.2,-0.151490926742554,-3.80037389695644E-02,-1.37559580802917
33.3,-0.150236889719963,-3.85335423052311E-02,-1.3583756685257
33.4,-0.149934530258179,-3.90800014138222E-02,-1.34053158760071
33.5,-0.150588393211365,-3.96365858614445E-02,-1.32207345962524
33.6,-0.152189329266548,-0.040196243673563,-1.30301296710968
33.7,-0.154714271426201,-4.07522358000278E-02,-1.283362865448
33.8,-0.158126041293144,-4.12983447313309E-02,-1.26313757896423
33.9,-0.162373468279839,-4.18276749551296E-02,-1.24235367774963
34,-0.167391777038574,-4.23339083790779E-02,-1.22102892398834
34.1,-0.173103183507919,-4.28109541535378E-02,-1.19918286800385
34.2,-0.179417908191681,-4.32532839477062E-02,-1.17683672904968
34.3,-0.186235457658768,-4.36551868915558E-02,-1.15401375293732
34.4,-0.193446010351181,-4.40119504928589E-02,-1.1307384967804
34.5,-0.200932428240776,-4.43196594715118E-02,-1.10703754425049
34.6,-0.208572149276733,-0.044574998319149,-1.08293831348419
34.7,-0.216239362955093,-0.044775266200304,-1.05846989154816
34.8,-0.223807290196419,-4.49187643826008E-02,-1.03366327285767
34.9,-0.231150448322296,-4.50043343007565E-02,-1.00855004787445
35,-0.238146781921387,-4.50315549969673E-02,-0.983163237571716
35.1,-0.244679838418961,-4.50008139014244E-02,-0.957536637783051
35.2,-0.250640422105789,-4.49130870401859E-02,-0.931705117225647
35.3,-0.25592827796936,-4.47701923549175E-02,-0.905704498291016
35.4,-0.260453641414642,-4.45743091404438E-02,-0.879570543766022
35.5,-0.264138489961624,-4.43282425403595E-02,-0.853339016437531
35.6,-0.266917616128922,-4.40349876880646E-02,-0.827046692371368
35.7,-0.268739521503448,-0.043698076158762,-0.800730347633362
