Rotation
Line A: Structure Position, Actual Response - Global RX (15MW-Semi-sub) [°]
Line B: Structure Position, Actual Response - Global RY (15MW-Semi-sub) [°]
Line C: Structure Position, Actual Response - Global RZ (15MW-Semi-sub) [°]

*Time (s),Line A (°),Line B (°),Line C (°)
30.6,-3.37173826992512E-02,-4.40517067909241E-02,8.93022865056992E-02
30.7,-3.46253253519535E-02,-4.34616208076477E-02,0.097847543656826
30.8,-3.53185161948204E-02,-4.26698513329029E-02,0.107097871601582
30.9,-0.035782802850008,-4.16768938302994E-02,0.116928584873676
31,-3.60125713050365E-02,-4.04706783592701E-02,0.127219259738922
31.1,-3.60076986253262E-02,-3.90447601675987E-02,0.137848407030106
31.2,-3.57510074973106E-02,-3.73956747353077E-02,0.14869287610054
31.3,-3.52526567876339E-02,-3.55133339762688E-02,0.159635350108147
31.4,-3.45013961195946E-02,-3.33963446319103E-02,0.170564919710159
31.5,-3.34946066141129E-02,-3.10364291071892E-02,0.181371167302132
31.6,-3.22287566959858E-02,-2.84336414188147E-02,0.191958114504814
31.7,-3.07191032916307E-02,-0.025576401501894,0.202233374118805
31.8,-0.028955303132534,-0.022466329857707,0.212115868926048
31.9,-2.69509870558977E-02,-1.91021822392941E-02,0.221537366509438
32,-2.47124992311001E-02,-1.54882492497563E-02,0.230430334806442
32.1,-2.22500953823328E-02,-1.16143086925149E-02,0.238743662834168
32.2,-1.95688549429178E-02,-7.48036941513419E-03,0.246441528201103
32.3,-1.66889596730471E-02,-3.0923648737371E-03,0.253482639789581
32.4,-0.013615321367979,1.54544075485319E-03,0.259849548339844
32.5,-1.03625152260065E-02,6.41773967072368E-03,0.265522480010986
32.6,-6.94674719125032E-03,1.15297306329012E-02,0.27049908041954
32.7,-3.3821954857558E-03,1.68663375079632E-02,0.274782478809357
32.8,3.09505529003218E-04,2.24176496267319E-02,0.278373181819916
32.9,4.11712750792503E-03,0.028164329007268,0.281284481287003
33,8.0185690894723E-03,3.40922139585018E-02,0.283525019884109
